iso1,iso2,contig
AFG,CHN,1
AFG,IRN,1
AFG,PAK,1
AFG,TJK,1
AFG,TKM,1
AFG,UZB,1
AGO,NAM,1
AGO,ZAR,1
AGO,ZMB,1
ALB,GRC,1
ALB,MKD,1
ALB,YUG,1
AND,FRA,1
ARE,OMN,1
ARE,QAT,1
ARE,SAU,1
ARG,BOL,1
ARG,BRA,1
ARG,CHL,1
ARG,PRY,1
ARG,URY,1
ARM,AZE,1
ARM,GEO,1
ARM,IRN,1
ARM,TUR,1
AUT,CHE,1
AUT,CZE,1
AUT,DEU,1
AUT,HUN,1
AUT,ITA,1
AUT,SVK,1
AUT,SVN,1
AZE,ARM,1
AZE,GEO,1
AZE,IRN,1
AZE,RUS,1
AZE,TUR,1
BDI,RWA,1
BDI,TZA,1
BDI,ZAR,1
BEL,DEU,1
BEL,FRA,1
BEL,LUX,1
BEL,NLD,1
BEN,BFA,1
BEN,NER,1
BEN,NGA,1
BEN,TGO,1
BFA,BEN,1
BFA,CIV,1
BFA,GHA,1
BFA,MLI,1
BFA,NER,1
BFA,TGO,1
BGD,IND,1
BGD,MMR,1
BGR,GRC,1
BGR,MKD,1
BGR,ROM,1
BGR,TUR,1
BGR,YUG,1
BIH,HRV,1
BIH,YUG,1
BLR,LTU,1
BLR,LVA,1
BLR,POL,1
BLR,RUS,1
BLR,UKR,1
BLZ,GTM,1
BLZ,MEX,1
BOL,ARG,1
BOL,BRA,1
BOL,CHL,1
BOL,PER,1
BOL,PRY,1
BRA,ARG,1
BRA,BOL,1
BRA,COL,1
BRA,GUF,1
BRA,GUY,1
BRA,PER,1
BRA,PRY,1
BRA,SUR,1
BRA,URY,1
BRA,VEN,1
BRN,MYS,1
BTN,CHN,1
BTN,IND,1
BWA,NAM,1
BWA,ZAF,1
BWA,ZMB,1
BWA,ZWE,1
CAF,CMR,1
CAF,COG,1
CAF,SDN,1
CAF,TCD,1
CAF,ZAR,1
CAN,USA,1
CHE,AUT,1
CHE,DEU,1
CHE,FRA,1
CHE,ITA,1
CHL,ARG,1
CHL,BOL,1
CHL,PER,1
CHN,AFG,1
CHN,BTN,1
CHN,HKG,1
CHN,IND,1
CHN,KAZ,1
CHN,KGZ,1
CHN,LAO,1
CHN,MAC,1
CHN,MMR,1
CHN,MNG,1
CHN,NPL,1
CHN,PAK,1
CHN,PRK,1
CHN,RUS,1
CHN,TJK,1
CHN,VNM,1
CIV,BFA,1
CIV,GHA,1
CIV,GIN,1
CIV,LBR,1
CIV,MLI,1
CMR,CAF,1
CMR,COG,1
CMR,GAB,1
CMR,GNQ,1
CMR,NGA,1
CMR,TCD,1
COG,CAF,1
COG,CMR,1
COG,GAB,1
COG,ZAR,1
COL,BRA,1
COL,ECU,1
COL,PAN,1
COL,PER,1
COL,VEN,1
CRI,NIC,1
CRI,PAN,1
CZE,AUT,1
CZE,DEU,1
CZE,POL,1
CZE,SVK,1
DEU,AUT,1
DEU,BEL,1
DEU,CHE,1
DEU,CZE,1
DEU,DNK,1
DEU,FRA,1
DEU,LUX,1
DEU,NLD,1
DEU,POL,1
DJI,ERI,1
DJI,ETH,1
DJI,SOM,1
DNK,DEU,1
DOM,HTI,1
DZA,ESH,1
DZA,LBY,1
DZA,MAR,1
DZA,MLI,1
DZA,MRT,1
DZA,NER,1
DZA,TUN,1
ECU,COL,1
ECU,PER,1
EGY,ISR,1
EGY,LBY,1
EGY,PAL,1
EGY,SDN,1
ERI,DJI,1
ERI,ETH,1
ERI,SDN,1
ESH,DZA,1
ESH,MAR,1
ESH,MRT,1
ESP,FRA,1
ESP,GIB,1
ESP,PRT,1
EST,LVA,1
EST,RUS,1
ETH,DJI,1
ETH,ERI,1
ETH,KEN,1
ETH,SDN,1
ETH,SOM,1
FIN,NOR,1
FIN,RUS,1
FIN,SWE,1
FRA,AND,1
FRA,BEL,1
FRA,CHE,1
FRA,DEU,1
FRA,ESP,1
FRA,ITA,1
FRA,LUX,1
GAB,CMR,1
GAB,COG,1
GAB,GNQ,1
GBR,IRL,1
GEO,ARM,1
GEO,AZE,1
GEO,RUS,1
GEO,TUR,1
GHA,BFA,1
GHA,CIV,1
GHA,TGO,1
GIB,ESP,1
GIN,CIV,1
GIN,GNB,1
GIN,LBR,1
GIN,MLI,1
GIN,SEN,1
GIN,SLE,1
GMB,SEN,1
GNB,GIN,1
GNB,SEN,1
GNQ,CMR,1
GNQ,GAB,1
GRC,ALB,1
GRC,BGR,1
GRC,MKD,1
GRC,TUR,1
GTM,BLZ,1
GTM,HND,1
GTM,MEX,1
GTM,SLV,1
GUF,BRA,1
GUF,SUR,1
GUY,BRA,1
GUY,SUR,1
GUY,VEN,1
HKG,CHN,1
HND,GTM,1
HND,NIC,1
HND,SLV,1
HRV,BIH,1
HRV,HUN,1
HRV,SVN,1
HRV,YUG,1
HTI,DOM,1
HUN,AUT,1
HUN,HRV,1
HUN,ROM,1
HUN,SVK,1
HUN,SVN,1
HUN,UKR,1
HUN,YUG,1
IDN,MYS,1
IDN,PNG,1
IDN,TMP,1
IND,BGD,1
IND,BTN,1
IND,CHN,1
IND,MMR,1
IND,NPL,1
IND,PAK,1
IRL,GBR,1
IRN,AFG,1
IRN,ARM,1
IRN,AZE,1
IRN,IRQ,1
IRN,PAK,1
IRN,TKM,1
IRN,TUR,1
IRQ,IRN,1
IRQ,JOR,1
IRQ,KWT,1
IRQ,SAU,1
IRQ,SYR,1
IRQ,TUR,1
ISR,EGY,1
ISR,JOR,1
ISR,LBN,1
ISR,PAL,1
ISR,SYR,1
ITA,AUT,1
ITA,CHE,1
ITA,FRA,1
ITA,SMR,1
ITA,SVN,1
JOR,IRQ,1
JOR,ISR,1
JOR,PAL,1
JOR,SAU,1
JOR,SYR,1
KAZ,CHN,1
KAZ,KGZ,1
KAZ,RUS,1
KAZ,TKM,1
KAZ,UZB,1
KEN,ETH,1
KEN,SDN,1
KEN,SOM,1
KEN,TZA,1
KEN,UGA,1
KGZ,CHN,1
KGZ,KAZ,1
KGZ,TJK,1
KGZ,UZB,1
KHM,LAO,1
KHM,THA,1
KHM,VNM,1
KOR,PRK,1
KWT,IRQ,1
KWT,SAU,1
LAO,CHN,1
LAO,KHM,1
LAO,MMR,1
LAO,THA,1
LAO,VNM,1
LBN,ISR,1
LBN,SYR,1
LBR,CIV,1
LBR,GIN,1
LBR,SLE,1
LBY,DZA,1
LBY,EGY,1
LBY,NER,1
LBY,SDN,1
LBY,TCD,1
LBY,TUN,1
LSO,ZAF,1
LTU,BLR,1
LTU,LVA,1
LTU,POL,1
LTU,RUS,1
LUX,BEL,1
