name,iso,lat,lon,area
Afghanistan,AFG,34.51667,69.2,652225
Albania,ALB,41.33333,19.81667,28748
Algeria,DZA,36.83333,3.0,2381741
Andorra,AND,42.5,1.5,453
Angola,AGO,-8.833333,13.25,1246700
Anguilla,AIA,18.21667,-63.06667,102
Antigua and Barbuda,ATG,17.13333,-61.83333,442
Argentina,ARG,-34.66667,-58.5,2766889
Armenia,ARM,40.18333,44.5,29800
Aruba,ABW,12.55,-70.1,193
Australia,AUS,-33.88334,151.1667,7686848
Australia,AUS,-35.3,149.133,7686848
Austria,AUT,48.21667,16.36667,83858
Azerbaijan,AZE,40.36666,49.88334,86600
Bahamas,BHS,25.08333,-77.33334,13939
Bahrain,BHR,26.2,50.63334,678
Bangladesh,BGD,23.7,90.36667,143998
Barbados,BRB,13.1,-59.61666,431
Belarus,BLR,53.85,27.5,207595
Belgium and Luxembourg,BEL,50.83333,4.35,33114
Belize,BLZ,17.21667,-88.8,22963
Benin,BEN,6.4,2.517,112622
Benin,BEN,6.5,2.783333,112622
Bermuda,BMU,32.3,-64.8,53
Bhutan,BTN,27.53333,89.75,46620
Bolivia,BOL,-16.5,-68.16666,1098581
Bolivia,BOL,-19.083,-65.25,1098581
Bosnia and Herzegovina,BIH,43.86666,18.43333,51233
Botswana,BWA,-24.75,25.91667,600372
Brazil,BRA,-23.53,-46.63,8511920
Brazil,BRA,-15.78,-47.91,8511920
British Virgin Islands,VGB,18.45,-64.61667,153
Brunei Darussalam,BRN,4.933333,114.9667,5765
Bulgaria,BGR,42.66667,23.3,110994
Burkina Faso,BFA,12.33333,-1.666667,274200
Burma,MMR,16.78333,96.16666,678500
Burundi,BDI,-3.366667,29.31667,27834
Cambodia,KHM,11.58333,104.9167,181035
Cameroon,CMR,3.85,11.51667,475442
Canada,CAN,43.65,-79.38,9976139
Canada,CAN,45.42,-75.71,9976139
Cape Verde,CPV,14.91667,-23.5,4033
Cayman Islands,CYM,19.3,-81.38333,262
Central African Republic,CAF,4.383333,18.61667,622984
Chad,TCD,12.16667,14.98333,1284005
Chile,CHL,-33.5,-70.66666,756945
China,CHN,39.91667,116.4333,9572378
Christmas Island,CXR,-10.41667,105.7167,135
Cocos (Keeling) Islands,CCK,-12.5,96.83334,14
Colombia,COL,4.633333,-75.06667,1141748
Comoros,COM,-11.66667,43.26667,1862
Congo,COG,-4.233333,15.23333,342000
Congo (Democratic Republic of the),ZAR,-4.3,15.3,2345410
Cook Islands,COK,-21.2,-159.7667,240
Costa Rica,CRI,9.983334,-84.06667,51076
Croatia,HRV,45.8,15.96667,56538
Cuba,CUB,23.11667,-82.41666,110861
Cyprus,CYP,35.15,33.35,9251
Czech Republic,CZE,50.1,14.43333,78864
Côte d'Ivoire,CIV,6.82,-5.28,322463
Côte d'Ivoire,CIV,5.316667,-4.016667,322463
Denmark,DNK,55.66667,12.58333,43094
Djibouti,DJI,11.6,43.15,23200
Dominica,DMA,15.3,-61.38334,751
Dominican Republic,DOM,18.5,-69.78333,48734
East Timor,TMP,-8.57,125.58,14874
Ecuador,ECU,-0.2333333,-78.5,275716
Egypt,EGY,30.05,31.25,1001449
El Salvador,SLV,13.66667,-89.16666,21041
Equatorial Guinea,GNQ,3.75,8.8,28051
Eritrea,ERI,15.33333,38.88334,121320
Estonia,EST,59.41667,24.75,45227
Ethiopia,ETH,9.05,38.83333,1127127
Falkland Islands,FLK,-51.7,-57.85,12173
Faroe Islands,FRO,62.01667,-6.766667,1399
Fiji,FJI,-18.13333,178.4167,18333
Finland,FIN,60.13334,25.0,336593
France,FRA,48.86666,2.333333,547026
French Guiana,GUF,4.933333,-52.33333,91000
French Polynesia,PYF,-17.53333,-149.5667,4167
French Southern Antartic territories,ATF,-66.66666,-140.0,7829
Gabon,GAB,0.3833333,9.416667,267667
Gambia,GMB,13.46667,-16.65,11295
