frame,x,y,state
0,1,5,1
0,1,6,1
0,2,5,1
0,2,6,1
0,11,5,1
0,11,6,1
0,11,7,1
0,12,4,1
0,12,8,1
0,13,3,1
0,13,9,1
0,14,3,1
0,14,9,1
0,15,6,1
0,16,4,1
0,16,8,1
0,17,5,1
0,17,6,1
0,17,7,1
0,18,6,1
0,21,3,1
0,21,4,1
0,21,5,1
0,22,3,1
0,22,4,1
0,22,5,1
0,23,2,1
0,23,6,1
0,25,1,1
0,25,2,1
0,25,6,1
0,25,7,1
0,35,3,1
0,35,4,1
0,36,3,1
0,36,4,1
1,12,5,1
1,17,7,1
1,11,7,1
1,36,3,1
1,10,6,1
1,17,5,1
1,23,5,1
1,23,3,1
1,18,5,1
1,35,3,1
1,24,7,1
1,23,4,1
1,22,2,1
1,22,6,1
1,18,6,1
1,24,6,1
1,24,2,1
1,1,6,1
1,2,6,1
1,13,9,1
1,21,5,1
1,11,5,1
1,18,7,1
1,20,4,1
1,1,5,1
1,24,1,1
1,12,8,1
1,2,5,1
1,13,8,1
1,12,6,1
1,36,4,1
1,12,4,1
1,11,6,1
1,13,4,1
1,17,6,1
1,13,3,1
1,21,3,1
1,12,7,1
1,35,4,1
2,19,5,1
2,24,6,1
2,22,2,1
2,13,8,1
2,13,3,1
2,21,3,1
2,18,7,1
2,13,6,1
2,2,5,1
2,24,5,1
2,36,3,1
2,10,6,1
2,21,4,1
2,10,5,1
2,2,6,1
2,23,7,1
2,36,4,1
2,23,4,1
2,24,2,1
2,13,9,1
2,23,3,1
2,16,6,1
2,23,1,1
2,20,4,1
2,35,3,1
2,21,5,1
2,11,8,1
2,17,7,1
2,35,4,1
2,23,5,1
2,18,5,1
2,24,3,1
2,24,4,1
2,1,5,1
2,1,6,1
2,11,4,1
2,10,7,1
2,12,3,1
2,17,5,1
2,22,6,1
2,12,9,1
2,13,4,1
2,19,6,1
3,12,5,1
3,17,7,1
3,11,7,1
3,36,3,1
3,10,6,1
3,17,5,1
3,23,1,1
3,19,5,1
3,18,5,1
3,23,7,1
3,10,7,1
3,35,3,1
3,25,3,1
3,11,8,1
3,18,4,1
3,22,2,1
3,21,4,1
3,19,4,1
3,22,6,1
3,24,6,1
3,19,6,1
3,25,4,1
3,24,2,1
3,1,6,1
3,2,6,1
3,20,6,1
3,13,9,1
3,12,9,1
3,21,5,1
3,11,5,1
3,18,7,1
3,1,5,1
3,12,7,1
3,25,5,1
3,2,5,1
3,13,8,1
3,11,4,1
3,20,3,1
3,36,4,1
3,10,5,1
3,11,6,1
3,16,6,1
3,13,4,1
3,9,6,1
3,13,3,1
3,12,3,1
3,21,3,1
3,35,4,1
4,9,5,1
4,10,4,1
4,17,7,1
4,1,5,1
4,36,3,1
4,17,5,1
4,23,1,1
4,22,5,1
4,21,3,1
4,22,3,1
4,23,7,1
4,35,3,1
4,19,3,1
4,21,2,1
4,24,3,1
4,17,4,1
4,25,3,1
4,23,2,1
4,21,6,1
4,22,4,1
4,23,6,1
4,22,2,1
4,21,4,1
4,22,6,1
4,26,4,1
4,24,6,1
4,25,4,1
4,10,8,1
4,24,2,1
4,1,6,1
4,2,6,1
4,24,4,1
4,20,6,1
4,13,9,1
4,12,9,1
4,21,5,1
